MS:  	 1823: 
which[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	 which it 
 & 	 and 
 family 	 family, 
 others 	 others, 
rage.[DELstart] you[DELend][DELstart] have bestowed on them[DELend][ADDstart] you[ADDend] . 	 rage. 
 and justice 	[NO 1823 VARIANT]
 moved 	 moved, 
tale   	 tale: 
that  deny 	 that, abandon 
comiserate[DELstart] d[DELend]  me 	 commiserate me, 
deserve–[ADDstart] .[ADDend]  	 deserve. 
[DELstart] here[DELend][ADDstart] ^[ADDend][ADDstart] hear[ADDend]  me –The 	 hear me. The 
[DELstart] may[DELend]  	[NO 1823 VARIANT]
 allowed 	 allowed, 
[DELstart] are[DELend][ADDstart] may be[ADDend] , 	 are, 
condemned  	 condemned. 
me Frankenstein [DELstart] for you are[DELend] you 	 me, Frankenstein. You 
 muder 	 murder; 
[DELstart] wh[DELend] you would 	 you would, 
[DELstart] s[DELend][DELstart] c[DELend] ed conscience 	 satisfied conscience, 
[DELstart] thy[DELend] thine 	 your 
 creature –Oh 	 creature. Oh, 
man[ADDstart] ![ADDend] —Yet 	 man! Yet 
 me, 	 me: 
[ADDstart] ^[ADDend] can 	 can, 
hands." "Why" cried I–"do 	 hands.”     “Why do 
[DELstart] ever[DELend]  	[NO 1823 VARIANT]
[DELstart] those[DELend]  circumstances 	 remembrance,” I rejoined, “circumstances, 
reflect [DELstart] ever re occured[DELend] that 	 reflect, that 
  – 	 and author? 
[DELstart] night o during which you[DELend] day 	 day, abhorred devil, 
 light, cursed 	 light! Cursed 
 you!— 	 you! 
expression [ADDstart] ^[ADDend] You 	 expression. You 
consider whether 	 consider whether 
 you 	 you, 
no.  begone, 	 not. Begone! 
[DELstart] they[DELend][ADDstart] your[ADDend] Thus 	 the sight of your detested form.”     “Thus 
you, Creator[DELstart] He[DELend][ADDstart] he replied &[ADDend]  	 thee, my creator,” he said, and 
 abhorred 	 hated 
eyes – [DELstart] Thus will I relieve yo[DELend] which 	 eyes, which 
violence[ADDstart] m[ADDend]  the 	 violence; “thus I take from thee a 
 of one whom 	 which 
 abhor.–still you can 	 abhor. Still thou canst 
 me 	 me, 
 your compassion –By the 	 thy compassion. By 
[DELstart] c[DELend] once possessed 	 once possessed, 
[DELstart] Lis[DELend]  	 from you. 
[DELstart] tale[DELend]  tale –It 	 tale; it 
strange [DELstart] but[DELend]  	 strange, 
[DELstart] y[DELend]  	[NO 1823 VARIANT]
on [DELstart] Motan[DELend][DELstart] vert[DELend][ADDstart] the mountain[ADDend]  – 	 upon the mountain. 
 heavens – 	 heavens; 
[DELstart] its lowest[DELend] hide 	 hide 
[DELstart] thes[DELend][ADDstart] yon[ADDend]  mountains 	 yon snowy precipices, 
[ADDstart] a[ADDend][ADDstart] es[ADDend]  	 illuminate 
 world 	 world, 
 story 	 story, 
[DELstart] And[DELend] on 	 On 
 rests 	 rests, 
 habitations 	 neighbourhood 
 man & 	 man, and 
 life 	 life, 
fellow creatures[DELstart] –[DELend] & 	 fellow-creatures, and 
ruin. As 	 ruin.”     As 
 this 	 this, 
 ice –I followed – my 	 ice: I followed. My 
 full 	 full, 
him but [DELstart] when[DELend] as 	 him; but, as 
proceeded  	 proceeded, 
 which 	 that 
[DELstart] I[DELend][DELstart] felt enclined[DELend][ADDstart] ^[ADDend] & I 	 and 
 tale—I 	 tale. I 
[DELstart] As[DELend][DELstart] I was not[DELend]  	 my resolution. 
 brother 	 brother, 
[DELstart] .[DELend] I 	[NO 1823 VARIANT]
 time also 	 time, also, 
 were 	 were, 
 these 	 These 
[DELstart] request[DELend][ADDstart] demand[ADDend]  – 	 demand. 
 ice 	 ice, 
 rock.– 	 rock. 
 cold 	 cold, 
 again 	[NO 1823 VARIANT]
 descend–We 	 descend: we 
 hut – 	 hut, 
 exultation 	 exultation, 
 heart 	 heart, 
 spirits – 	 spirits. 
listen and [DELstart] sitting[DELend] seating 	 listen; and, seating 
he  lighted 	 my odious companion had lighted, 
[DELstart] began[DELend]  	[NO 1823 VARIANT]
